af, Afrikaans, , ftp://ftp.gnu.org/gnu/aspell/dict/af/aspell-af-0.50-0.tar.bz2
am, Amharic, አማርኛ, ftp://ftp.gnu.org/gnu/aspell/dict/am/aspell6-am-0.03-1.tar.bz2
ar, Arabic, عربي, ftp://ftp.gnu.org/gnu/aspell/dict/ar/aspell6-ar-1.2-0.tar.bz2
ast, Asturian, Asturianu, ftp://ftp.gnu.org/gnu/aspell/dict/ast/aspell6-ast-0.01.tar.bz2
az, Azerbaijani, Azərbaycanca, ftp://ftp.gnu.org/gnu/aspell/dict/az/aspell6-az-0.02-0.tar.bz2
be, Belarusian, Беларускі, ftp://ftp.gnu.org/gnu/aspell/dict/be/aspell5-be-0.01.tar.bz2
bg, Bulgarian, Български, ftp://ftp.gnu.org/gnu/aspell/dict/bg/aspell6-bg-4.1-0.tar.bz2
bn, Bengali, বাংলা, ftp://ftp.gnu.org/gnu/aspell/dict/bn/aspell6-bn-0.01.1-1.tar.bz2
br, Breton, , ftp://ftp.gnu.org/gnu/aspell/dict/br/aspell-br-0.50-2.tar.bz2
ca, Catalan, , ftp://ftp.gnu.org/gnu/aspell/dict/ca/aspell6-ca-2.1.5-1.tar.bz2
cs, Czech, Čeština, ftp://ftp.gnu.org/gnu/aspell/dict/cs/aspell6-cs-20040614-1.tar.bz2
csb, Kashubian, Kaszëbsczi, ftp://ftp.gnu.org/gnu/aspell/dict/csb/aspell6-csb-0.02-0.tar.bz2
cy, Welsh, , ftp://ftp.gnu.org/gnu/aspell/dict/cy/aspell-cy-0.50-3.tar.bz2
da, Danish, Dansk, ftp://ftp.gnu.org/gnu/aspell/dict/da/aspell5-da-1.4.42-1.tar.bz2
de, German, , ftp://ftp.gnu.org/gnu/aspell/dict/de/aspell6-de-20030222-1.tar.bz2
de-alt, German - Old Spelling, , ftp://ftp.gnu.org/gnu/aspell/dict/de-alt/aspell6-de-alt-2.1-1.tar.bz2
el, Greek, , ftp://ftp.gnu.org/gnu/aspell/dict/el/aspell-el-0.50-3.tar.bz2
en, English, , ftp://ftp.gnu.org/gnu/aspell/dict/en/aspell6-en-7.1-0.tar.bz2
eo, Esperanto, , ftp://ftp.gnu.org/gnu/aspell/dict/eo/aspell6-eo-2.1.20000225a-2.tar.bz2
es, Spanish, Español, ftp://ftp.gnu.org/gnu/aspell/dict/es/aspell6-es-1.11-2.tar.bz2
et, Estonian, , ftp://ftp.gnu.org/gnu/aspell/dict/et/aspell6-et-0.1.21-1.tar.bz2
